iso,Stat,Region,zmena_t,prum_srazky_mm_rok,plocha_lesa_ha,spal_plocha_ha
KWT,Kuwait,Asia,1.81,121.0,13911150.36,333.57
LBN,Lebanon,Asia,1.44,661.0,8190430.89,22.93
LBR,Liberia,Africa,1.32,2391.0,76734412.66,311539.36
LKA,Sri Lanka,Asia,1.04,1712.0,52669816.12,5564.39
LTU,Lithuania,Europe,2.06,656.0,52013303.51,302.03
LVA,Latvia,Europe,2.05,641.0,51767970.09,1933.36
MDG,Madagascar,Africa,1.14,1513.0,473157658.6,157411.11
MEX,Mexico,Americas,1.12,758.0,1561483717.41,1461080.92
MLI,Mali,Africa,1.08,282.0,980055745.16,2986561.72
MMR,Myanmar,Asia,1.38,2091.0,535437339.24,15439501.12
MNE,Montenegro,Europe,1.74,241.0,10668186.07,3809.97
MNG,Mongolia,Asia,1.75,241.0,1252997956.04,440868.79
MOZ,Mozambique,Africa,0.87,1032.0,629837733.21,100368.78
MRT,Mauritania,Africa,1.43,92.0,832937205.13,120263.12
MWI,Malawi,Africa,1.09,1181.0,94423083.16,1029.9
MYS,Malaysia,Asia,1.17,2875.0,263506790.69,86562.52
NAM,Namibia,Africa,0.92,285.0,659084977.48,98015.08
NGA,Nigeria,Africa,1.08,1150.0,726727984.16,1157124.7
NIC,Nicaragua,Americas,1.09,2280.0,102575826.61,400918.61
NPL,Nepal,Asia,0.62,1500.0,118129996.36,416596.84
NZL,New Zealand,Oceania,0.78,1732.0,213732600.79,4934.45
OMN,Oman,Asia,1.05,125.0,247466192.69,217.11
PAK,Pakistan,Asia,0.79,494.0,699341044.76,226713.93
PAN,Panama,Americas,0.88,2928.0,60083359.24,164219.79
PER,Peru,Americas,1.01,1738.0,1034254948.14,1234.89
PNG,Papua New Guinea,Oceania,0.75,3142.0,370904483.61,4516.63
POL,Poland,Europe,1.95,600.0,249919342.4,3120.81
PRT,Portugal,Europe,1.38,854.0,71644045.43,15899.65
PRY,Paraguay,Americas,0.99,1130.0,319669340.17,937657.83
QAT,Qatar,Asia,1.78,74.0,9299950.4,2676.33
ROU,Romania,Europe,1.87,637.0,190670349.11,166211.39
RWA,Rwanda,Africa,1.27,1212.0,20222159.3,3320.28
SAU,Saudi Arabia,Asia,1.56,59.0,1532787469.06,459.11
SEN,Senegal,Africa,1.4,686.0,157511861.7,2201592.32
SLE,Sierra Leone,Africa,1.69,2526.0,58081087.09,1637927.75
SLV,El Salvador,Americas,1.03,1784.0,16338182.87,58169.04
SOM,Somalia,Africa,1.48,282.0,496693106.84,19935.91
SRB,Serbia,Europe,1.79,686.0,62585123.93,10069.7
SSD,South Sudan,Africa,1.17,630.0,502478965.59,9621964.18
SUR,Suriname,Americas,1.8,2331.0,117140454.92,33387.8
SVK,Slovakia,Europe,1.94,1102.83,39279326.44,1286.43
TCD,Chad,Africa,1.1,322.0,905013640.95,1975335.8
TGO,Togo,Africa,1.11,1168.0,45596153.62,66593.59
THA,Thailand,Asia,1.18,1622.0,411243588.75,3756909.35
TJK,Tajikistan,Asia,1.12,691.0,113690363.25,218.12
TKM,Turkmenistan,Asia,1.47,161.0,391673676.43,23862.37
TTO,Trinidad and Tobago,Americas,0.74,2200.0,4127196.76,2488.69
TUN,Tunisia,Africa,1.55,207.0,123891666.17,44.91
TUR,Turkey,Asia,1.46,593.0,624562727.12,15272.17
UGA,Uganda,Africa,1.03,1180.0,193151623.51,347089.89
UKR,Ukraine,Europe,2.04,565.0,481088877.67,2187575.59
URY,Uruguay,Americas,1.01,1300.0,141972594.75,13071.82
UZB,Uzbekistan,Asia,1.36,206.0,358043104.8,98615.82
VEN,Venezuela (Bolivarian Republic of),Americas,0.83,2044.0,729993803.6,6937438.62
VNM,Viet Nam,Asia,1.1,1821.0,263420799.58,2785125.25
ZAF,South Africa,Africa,1.15,495.0,975768150.43,625502.36
ZMB,Zambia,Africa,1.14,1020.0,600393615.1,167296.1
ZWE,Zimbabwe,Africa,0.85,657.0,312544889.08,6833.04
