"iso","alert__year","alert__week","burned_area__ha"
"ARG",2013,12,14810.149339772464707
"ARG",2013,13,27979.210670665198508
"ARG",2014,10,27046.228502977807560
"ARG",2014,11,19498.301510485297831
"ARG",2014,12,11142.846219423473760
"ARG",2014,13,5831.64803063049160
"ARG",2015,11,23733.075503341802032
"ARG",2015,12,48366.787559220546472
"ARG",2015,13,38734.789336946347687
"ARG",2015,14,12852.788257102096272
"ARG",2016,10,18521.373110175250166
"ARG",2016,11,19660.434818630568596
"ARG",2016,12,15816.47558624408416
"ARG",2016,13,28343.984248347200207
"ARG",2017,10,25704.24938649819234
"ARG",2017,11,14147.983172698833959
"ARG",2017,12,12139.078949887779459
"ARG",2017,13,31976.12437912765026
"ARG",2018,10,57653.470883886267896
"ARG",2018,11,44380.596549439013704
"ARG",2018,12,23070.53000491649965
"ARG",2018,13,33107.226988073031002
"ARG",2019,10,10683.124630591127240
"ARG",2019,11,11570.85481526663182
"ARG",2019,12,14565.75328274776487
"ARG",2019,13,12777.082503920291721
"ARG",2020,11,145681.085271194450008
"ARG",2020,12,78912.059739996867408
"ARG",2020,13,76163.145612157706613
"ARG",2020,14,40433.143286649054017
"ARG",2021,10,67690.288457031068923
"ARG",2021,11,20623.844788505120614
"ARG",2021,12,6543.259346689286720
"ARG",2021,13,2863.93158074829378
"ARM",2012,10,525.4154156910641
"ARM",2012,12,52.465320458347568
"ARM",2012,13,93.860167475405854
"ARM",2013,10,31.866517523048472
"ARM",2013,11,116.66824596534381
"ARM",2013,12,273.7674960873261
"ARM",2013,13,146.0995302993835
"ARM",2014,10,95.29133398110555
"ARM",2014,13,21.2213720509315
"ARM",2017,10,115.72343751695007
"ARM",2017,11,63.557514096661826
"ARM",2017,12,167.04254955097083
"ARM",2017,13,63.545485292262434
"ARM",2019,10,10.348988371153835
"AUS",2012,10,51082.492592785412488
"AUS",2012,11,50327.501570583558395
"AUS",2012,12,82647.925628840984040
"AUS",2012,13,237665.144741307237926
"AUS",2013,10,52553.063899232082084
"AUS",2013,11,87822.258567100348880
"AUS",2013,12,149956.278673644566804
"AUS",2013,13,89580.63362903815194
"AUS",2014,10,54489.931667668372450
"AUS",2014,11,135874.930886877503248
"AUS",2014,12,240914.051108667966392
"AUS",2014,13,152892.519817023580470
"AUS",2015,11,230960.518049026742761
"AUS",2015,12,359988.433415511794538
"AUS",2015,13,370074.573177259306878
"AUS",2015,14,556732.405862356687942
"AUS",2016,10,53586.386066776013346
"AUS",2016,11,67348.057708832204278
"AUS",2016,12,123524.357479915437722
"AUS",2016,13,134671.397639294633108
"AUS",2017,10,72582.617659238400263
"AUS",2017,11,108957.264584852021308
"AUS",2017,12,288630.748712162196353
"AUS",2017,13,385427.923584570870283
"AUS",2018,10,120582.541360658743042
"AUS",2018,11,148743.099405228891021
"AUS",2018,12,144159.355934445966259
"AUS",2018,13,621765.761412777041235
"AUS",2019,10,237875.473108308619403
"AUS",2019,11,223679.409210267210058
"AUS",2019,12,274848.245475580500391
"AUS",2019,13,383064.897092048657273
"AUS",2020,11,38505.844140337845956
"AUS",2020,12,78723.212172344501726
"AUS",2020,13,74550.377128824548698
"AUS",2020,14,90074.547671494536460
"AUS",2021,10,36551.437371095778363
"AUS",2021,11,51879.521109921393150
"AUS",2021,12,140183.657237642910491
"AUS",2021,13,118686.812962130333943
"AUT",2012,10,9.16594615310734
"AUT",2012,11,18.330711004841014
"AUT",2014,10,173.519333973276127
"AUT",2014,11,201.145772416863284
"AUT",2014,12,18.862682674230633
"AUT",2014,13,94.461204079722155
"AUT",2020,11,83.864064097992282
"AZE",2012,10,10.546409260103403
"AZE",2012,11,20.734735597612115
"AZE",2012,12,757.20515115425257
"AZE",2012,13,831.15160009215630
"AZE",2013,10,115.26138362203932
